test;failure_id;config;exception;message;stacktrace
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testResolvePathDanglingLink;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testResolvePathDanglingLink;id_000002;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-1420235899;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testResolvePathDanglingLink;id_000003;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testResolvePathDanglingLink;id_000005;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.get(FileSystem.java:537)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testGetDelegationTokens;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-2113685301;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testGetDelegationTokens;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testViewFileSystemInnerCache;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-1842182180;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testViewFileSystemInnerCache;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testViewFileSystemInnerCache;id_000003;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testViewFileSystemInnerCache;id_000013;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.get(FileSystem.java:537)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testInternalCreateMissingDir2;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testInternalCreateMissingDir2;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.get(FileSystem.java:537)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testInternalCreateMissingDir2;id_000002;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-491203488;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testInternalCreateMissingDir2;id_000003;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testInternalCreateMissingDir2;id_000004;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testResolvePathThroughMountPoints;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testResolvePathThroughMountPoints;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-1747371266;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testResolvePathThroughMountPoints;id_000002;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testResolvePathThroughMountPoints;id_000012;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.get(FileSystem.java:537)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetDelegationTokens;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-758310358;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetDelegationTokens;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.get(FileSystem.java:537)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetDelegationTokens;id_000002;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetDelegationTokens;id_000004;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetDelegationTokensWithCredentials;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-240078523;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetDelegationTokensWithCredentials;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetDelegationTokensWithCredentials;id_000004;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testResolvePathMissingThroughMountPoints;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-1931541870;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testResolvePathMissingThroughMountPoints;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testResolvePathMissingThroughMountPoints;id_000003;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testResolvePathMissingThroughMountPoints;id_000004;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.get(FileSystem.java:537)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetBlockLocations;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetBlockLocations;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-1167736084;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetBlockLocations;id_000003;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetBlockLocations;id_000014;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.get(FileSystem.java:537)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testRenameAcrossMounts1;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testRenameAcrossMounts1;id_000002;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testRenameAcrossMounts1;id_000003;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-412521731;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testInternalGetAllStoragePolicies;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.get(FileSystem.java:537)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testInternalGetAllStoragePolicies;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.lang.NegativeArraySizeException;-1690876646;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testInternalGetAllStoragePolicies;id_000002;[fs.viewfs.mounttable.default.name.key=default];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractCreate#testCreateFileUnderFile;id_000000;[io.file.buffer.size=2120162670];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:413), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1175)]
org.apache.hadoop.security.TestUserGroupInformation#testGettingGroups;id_000000;[hadoop.security.groups.cache.secs=0];java.lang.IllegalArgumentException;duration must be positive: 0 MILLISECONDS;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkArgument(Preconditions.java:387), org.apache.hadoop.thirdparty.com.google.common.cache.CacheBuilder.refreshAfterWrite(CacheBuilder.java:844), org.apache.hadoop.security.Groups.<init>(Groups.java:137), org.apache.hadoop.security.Groups.<init>(Groups.java:102), org.apache.hadoop.security.Groups.getUserToGroupsMappingService(Groups.java:451)]
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractMkdir#testNoMkdirOverFile;id_000000;[io.file.buffer.size=2107104316];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:413), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1175)]
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractMkdir#testMkDirRmDir;id_000000;[file.bytes-per-checksum=0];java.lang.IllegalStateException;bytes per checksum should be positive but was 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkState(Preconditions.java:562), org.apache.hadoop.fs.ChecksumFileSystem.setConf(ChecksumFileSystem.java:80), org.apache.hadoop.util.ReflectionUtils.setConf(ReflectionUtils.java:79), org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:139), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3467)]
org.apache.hadoop.security.TestGroupsCaching#testNegativeCacheClearedOnRefresh;id_000000;[hadoop.security.groups.cache.secs=0];java.lang.IllegalArgumentException;duration must be positive: 0 MILLISECONDS;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkArgument(Preconditions.java:387), org.apache.hadoop.thirdparty.com.google.common.cache.CacheBuilder.refreshAfterWrite(CacheBuilder.java:844), org.apache.hadoop.security.Groups.<init>(Groups.java:137), org.apache.hadoop.security.Groups.<init>(Groups.java:102), org.apache.hadoop.security.TestGroupsCaching.testNegativeCacheClearedOnRefresh(TestGroupsCaching.java:843)]
org.apache.hadoop.security.alias.TestCredentialProviderFactory#testFactory;id_000000;[file.bytes-per-checksum=0];java.lang.IllegalArgumentException;duration must be positive: 0 MILLISECONDS;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkArgument(Preconditions.java:387), org.apache.hadoop.thirdparty.com.google.common.cache.CacheBuilder.refreshAfterWrite(CacheBuilder.java:844), org.apache.hadoop.security.Groups.<init>(Groups.java:137), org.apache.hadoop.security.Groups.<init>(Groups.java:102), org.apache.hadoop.security.Groups.getUserToGroupsMappingService(Groups.java:451)]
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testRenameDirectoryAsEmptyDirectory;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFs$1.<init>(ViewFs.java:239), org.apache.hadoop.fs.viewfs.ViewFs.<init>(ViewFs.java:238), jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method), jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62)]
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testGlobStatusFilterWithMultiplePathMatchesAndNonTrivialFilter;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFs$1.<init>(ViewFs.java:239), org.apache.hadoop.fs.viewfs.ViewFs.<init>(ViewFs.java:238), jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method), jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62)]
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testOpen2;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFs$1.<init>(ViewFs.java:239), org.apache.hadoop.fs.viewfs.ViewFs.<init>(ViewFs.java:238), jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method), jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62)]
